country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Niger,,,,,,,,9.37,19.8,8.82,4.57,15.5,5.63,3.6,2.97,3.34,3.59,11.2,11.9,12.7,3.84,14.5,6.56,4.51,7.66,52.4,57.1,14.2,1.94
Nigeria,,,,,,,,,1.68,0.112,0.0181,13.4,0.591,0.367,0.142,1.73,,,7.79,0.996,0.409,2.53,1.09,1.2,1.88,2.74,2.1,,1.97
Norway,12,10.6,11.4,10.9,12.4,14.7,14.6,13.5,14.1,14.6,15.7,15.7,16.8,18.2,20.6,16.8,17.4,16.1,17.2,14.7,14.8,15.8,16.2,18.5,18.8,19.1,20.7,20.5,19.3
Oman,3.56,14.1,14.7,12.2,4.46,6.76,6.27,4.49,5.47,8.5,8.54,9.64,4.19,3.1,2.17,5.74,0.678,0.275,0.306,0.456,0.735,0.295,0.566,2.62,3.39,3.41,4.33,4.13,2.83
Pakistan,,,0.0717,0.0246,0.0339,0.0709,,0.0411,0.0325,0.0879,0.114,0.314,0.388,0.297,0.675,1.21,1.16,1.38,1.45,1.38,1.85,1.71,1.69,1.76,1.67,1.88,1.41,1.56,1.91
Palau,,,,,,,,,,,,,,,,,,,,,,,,,19.3,,20.2,40.7,60.3
Palestine,,,,,,,,,,,,,0.242,0.264,0.495,0.635,0.325,0.294,0.327,0.0636,0.141,0.119,0.196,0.178,0.313,0.0929,0.234,0.837,0.594
Panama,,,,,,,,2.77,2.6,3.02,1.9,1.36,0.183,1.99,1.9,1.32,2.32,0.97,1.34,2.56,1.23,1.37,0.826,,,,,,
Papua New Guinea,,,,,,,,,,,41.6,,19.1,46.4,17.5,40.2,60.9,,,,,,,14.2,3.45,,,,
Paraguay,,0.102,0.195,0.846,1.06,0.848,1.07,2.1,1.27,2.18,3.55,2.85,2.94,4.13,3.23,5.66,6.75,7.16,8.29,6.44,6.54,11,6.6,7.3,6.94,7.51,6.13,5.68,7.25
Peru,,,,,1.35,1.43,2.49,2.41,5.82,4.55,4.04,4.49,4.38,4.29,2.61,2.64,2.89,3.23,2.72,2.51,2.75,3.46,6.59,6.22,3.48,3.58,3.82,4.7,4.22
Philippines,,,,32.5,27.5,30.3,31.5,35,58.5,66.5,72,75,72.6,71.9,74.2,73.6,72.6,70.8,67.7,68.9,66.3,65.5,55.3,46.4,48.9,49.2,49,53.1,55.1
Poland,,,,,3.48,2.77,2.44,2.58,2.92,2.62,2.95,2.65,3.36,3.17,2.88,3.07,3.34,3.79,3.74,3.04,4.32,6.1,6.69,5.87,6.95,7.81,8.7,8.78,8.46
Portugal,3.97,4.48,4.12,3.66,3.53,2.64,3.63,5.13,4.1,4.06,3.93,4.8,6.23,7.8,7.2,8.5,8.68,8.86,8.9,8.17,7.78,4.1,3.51,3.69,4.14,4.31,4.38,,5.29
Qatar,,,,0.00352,0.00345,0.00097,,0.00419,0.00242,,,0.0112,0.00007,0.00963,0.00019,0.00477,0.0543,0.00711,0.0132,0.0753,0.00062,0.0245,0.00077,0.00551,,0.00058,0.049,3.41,2.2
Romania,,2.85,3.29,1.53,1.45,1.07,1.62,1.29,1.24,1.21,1.81,3.55,5.87,6.14,3.8,3.97,3.72,3.84,4.83,3.48,6.69,9.11,10.9,10.2,6.38,5.72,6.45,7.5,8.5
Russia,,,,,,,,,9.66,9.34,12,12.3,16.1,14,19.2,19,12.9,8.44,7.78,6.88,6.47,9.23,9.07,7.97,8.38,10,11.5,13.8,10.7
Rwanda,,,,,,,,,0.599,3.1,2.17,0.602,,1.52,83.6,27,19.9,25.3,16.3,16.3,6.71,11.6,5.37,6.16,2.47,6.52,11.9,13,12.3
Samoa,,,,,,,,,,,,,,0.508,0.152,0.146,0.0831,8.74,0.0497,0.0725,0.577,0.314,0.201,0.201,0.0829,0.642,1.67,0.371,0.852
Sao Tome and Principe,,,,,,,,,,,,,,,1.08,,,7.68,1.28,0.256,0.045,15.6,14,2,14.3,14.1,0.77,42.3,65.5
Saudi Arabia,,,,0.373,0.352,0.169,0.0964,0.197,0.75,,0.358,0.987,0.389,0.428,0.326,0.52,0.314,0.639,0.916,0.658,0.767,1.07,0.728,0.554,0.637,0.698,0.576,0.774,2.97
Senegal,,,,,,,,,1.46,1.71,5.77,12.3,7.29,4.46,4.09,4.9,5.82,8.27,5.85,4.47,5.26,11.9,1.19,0.564,0.69,1.15,1.26,3.62,2.08
Serbia,,,,,3.63,,,,5.51,2.91,4.9,2.51,3.3,5.53,4.05,,4.26,3.24,3.56,3.63,,,,,,,,,
Seychelles,,,,,1.04,,0.026,,,,,,2.09,0.825,22.5,,,19.2,3.15,,3.35,,3.88,2.12,20.1,10,5.61,7.21,2.53
Sierra Leone,,,,,,,,,,,,,27.6,,31.1,,,,,,,,,,,,0.0273,0.415,0.00125
Singapore,,36.4,39.9,40.5,44.8,47.5,50.7,54.1,55.7,57,59.1,60.9,62.8,60.9,60.6,90,56.9,93.7,98.7,45.5,49.8,48.7,49.9,45.2,45.3,47,47.2,49.3,48.9
Slovak Republic,,,,,,,4.06,3.12,3.17,3.61,3.56,4.28,3.63,3.86,3.21,3.8,5.48,7.44,6.72,5.35,5.26,5.7,6.77,7.1,9.21,10.3,10.2,10.3,9.83
Slovenia,,,,,3.33,3.43,,3.62,4.51,4.32,4.51,4.13,4.91,5.34,5.42,6.42,5.73,4.93,5.51,5.01,5.82,6.48,5.72,5.8,6.18,6.22,5.84,6.42,7.42
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,2.8,1.46
South Africa,,,,,6.97,4.73,4.88,5.71,5.65,7.53,8.75,7.15,7,6.46,5.16,4.83,5.54,6.66,6.46,5.58,5.12,5.35,4.63,5.01,5.38,5.47,5.85,5.88,5.29
South Korea,15.9,17.8,18,19.3,19.8,20.2,22.7,26,24.1,26.6,27.1,32.1,35.1,29.8,31.5,32.3,32.9,32.5,32.1,30.5,27.6,28.7,29.5,25.7,26.2,27.1,26.9,26.8,26.6
Spain,6.8,6.91,6.72,7.81,7.45,8.31,8.4,7.27,7.6,7.01,6.96,7.87,7.99,7.77,7.22,7.49,7.26,7.26,6.38,5.11,5.31,6.23,6.36,6.47,6.99,7.67,7,7.15,6.98
